All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
T8,GPIO122,,GPIO122,,,,GPIO122,,SPISIMOC,SD1_D1,GPIO122,,,,GPIO122,,,
U8,GPIO123,,GPIO123,,,,GPIO123,,SPISOMIC,SD1_C1,GPIO123,,,,GPIO123,,,
V8,GPIO124,,GPIO124,,,,GPIO124,,SPICLKC,SD1_D2,GPIO124,,,,GPIO124,,,
T9,GPIO125,,GPIO125,,,,GPIO125,,SPISTEC,SD1_C2,GPIO125,,,,GPIO125,,,
U9,GPIO126,,GPIO126,,,,GPIO126,,,SD1_D3,GPIO126,,,,GPIO126,,,
V9,GPIO127,,GPIO127,,,,GPIO127,,,SD1_C3,GPIO127,,,,GPIO127,,,
W9,GPIO128,,GPIO128,,,,GPIO128,,,SD1_D4,GPIO128,,,,GPIO128,,,
T10,GPIO129,,GPIO129,,,,GPIO129,,,SD1_C4,GPIO129,,,,GPIO129,,,
U10,GPIO130,,GPIO130,,,,GPIO130,,,SD2_D1,GPIO130,,,,GPIO130,,,
V10,GPIO131,,GPIO131,,,,GPIO131,,,SD2_C1,GPIO131,,,,GPIO131,,,
T11,GPIO30,,GPIO30,CANRXA,EM1CLK,,GPIO30,OUTPUTXBAR7,EQEP3S,SD2_D4,GPIO30,,,,GPIO30,,,
V11,GPIO28,,GPIO28,SCIRXDA,EM1CS4n,,GPIO28,OUTPUTXBAR5,EQEP3A,SD2_D3,GPIO28,,,,GPIO28,,,
W11,GPIO29,,GPIO29,SCITXDA,EM1SDCKE,,GPIO29,OUTPUTXBAR6,EQEP3B,SD2_C3,GPIO29,,,,GPIO29,,,
U11,GPIO31,,GPIO31,CANTXA,EM1WEn,,GPIO31,OUTPUTXBAR8,EQEP3I,SD2_C4,GPIO31,,,,GPIO31,,,
V12,GPIO115,,GPIO115,,,EM2CS0n,GPIO115,,,,GPIO115,,,,GPIO115,,,
W10,GPIO116,,GPIO116,,,EM2CS2n,GPIO116,,,,GPIO116,,,,GPIO116,,,
U12,GPIO117,,GPIO117,,,,GPIO117,,,,GPIO117,,,,GPIO117,,,
T12,GPIO118,,GPIO118,,,EM2CLK,GPIO118,,,,GPIO118,,,,GPIO118,,,
U13,GPIO32,,GPIO32,SDAA,EM1CS0n,,GPIO32,,,,GPIO32,,,,GPIO32,,,
T13,GPIO33,,GPIO33,SCLA,EM1RNW,,GPIO33,,,,GPIO33,,,,GPIO33,,,
U14,GPIO34,,GPIO34,OUTPUTXBAR1,EM1CS2n,,GPIO34,,SDAB,,GPIO34,,,,GPIO34,,,
T14,GPIO35,,GPIO35,SCIRXDA,EM1CS3n,,GPIO35,,SCLB,,GPIO35,,,,GPIO35,,,
T15,GPIO119,,GPIO119,,,EM2RNW,GPIO119,,,,GPIO119,,,,GPIO119,,,
